,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
18,Jeffery Taylor,2013,2015,F,6-7,225,"May 23, 1989",Vanderbilt University
19,Jermaine Taylor,2010,2011,G,6-4,210,"December 8, 1986",University of Central Florida
20,Johnny Taylor,1998,2000,F,6-9,220,"June 4, 1974","Indian Hills Community College, University of Tennessee at Chattanooga"
21,Leonard Taylor,1990,1990,F,6-8,220,"May 2, 1966",University of California
22,Maurice Taylor,1998,2007,F,6-9,260,"October 30, 1976",University of Michigan
23,Mike Taylor,2009,2009,G,6-2,165,"January 21, 1986",Iowa State University
24,Oliver Taylor,1971,1974,G-F,6-2,194,"March 7, 1947",University of Houston
25,Ronald Taylor,1970,1972,C,7-1,265,"November 21, 1947",University of Southern California
26,Tyshawn Taylor,2013,2014,G,6-3,185,"April 12, 1990",University of Kansas
27,Vince Taylor,1983,1983,G-F,6-5,180,"September 11, 1960",Duke University
28,Terry Teagle,1983,1993,F-G,6-5,195,"April 10, 1960",Baylor University
29,Jeff Teague,2010,2019,G,6-2,195,"June 10, 1988",Wake Forest University
30,Marquis Teague,2013,2018,G,6-2,189,"February 28, 1993",University of Kentucky
31,Mirza Teletovic,2013,2018,F,6-9,242,"September 18, 1985",
32,Sebastian Telfair,2005,2015,G,6-0,165,"June 9, 1985",
33,Collis Temple,1975,1975,F,6-8,220,"November 8, 1952",Louisiana State University
34,Garrett Temple,2010,2019,G,6-6,195,"May 8, 1986",Louisiana State University
35,Milos Teodosic,2018,2019,G,6-5,196,"March 19, 1987",
36,Ira Terrell,1977,1979,F-C,6-8,200,"June 19, 1954",Southern Methodist University
37,Jared Terrell,2019,2019,G,6-3,227,"February 10, 1995",University of Rhode Island
38,Carlos Terry,1981,1983,G-F,6-5,210,"June 22, 1956",Winston-Salem State University
39,Chuck Terry,1973,1977,F,6-6,215,"September 27, 1950","California State University, Long Beach"
40,Claude Terry,1973,1978,G-F,6-4,195,"January 12, 1950",Stanford University
41,Emanuel Terry,2019,2019,F,6-9,220,"August 21, 1996",Lincoln Memorial University
42,Jason Terry,2000,2018,G,6-2,185,"September 15, 1977",University of Arizona
43,Hasheem Thabeet,2010,2014,C,7-3,263,"February 16, 1987",University of Connecticut
44,Tom Thacker,1964,1971,G-F,6-2,170,"November 2, 1939",University of Cincinnati
45,Floyd Theard,1970,1970,G,6-1,170,"September 5, 1944",Kentucky State University
46,Daniel Theis,2018,2019,C,6-8,243,"April 4, 1992",
47,Reggie Theus,1979,1991,G,6-7,190,"October 13, 1957","University of Nevada, Las Vegas"
48,Peter Thibeaux,1985,1986,F,6-7,210,"October 3, 1961",Saint Mary's College of California
49,Bill Thieben,1957,1958,F-C,6-7,215,"March 28, 1935",Hofstra University
50,Justus Thigpen,1970,1974,G,6-1,160,"August 13, 1947",Weber State University
51,David Thirdkill,1983,1987,F-G,6-7,195,"April 12, 1960",Bradley University
52,Adonis Thomas,2014,2014,F,6-7,200,"March 25, 1993",University of Memphis
53,Billy Thomas,2005,2008,G,6-4,208,"December 23, 1975",University of Kansas
54,Carl Thomas,1992,1998,G,6-4,175,"October 3, 1969",Eastern Michigan University
55,Charles Thomas,1992,1992,G,6-3,175,"October 3, 1969",Eastern Michigan University
56,Etan Thomas,2002,2011,F,6-9,256,"April 1, 1978",Syracuse University
57,Irving Thomas,1991,1991,F,6-8,225,"January 2, 1966","University of Kentucky, Florida State University"
58,Isaiah Thomas,2012,2019,G,5-9,185,"February 7, 1989",University of Washington
59,Isiah Thomas*,1982,1994,G,6-1,180,"April 30, 1961",Indiana University
60,Jamel Thomas,2000,2001,F,6-6,215,"March 25, 1973",Providence College
61,James Thomas,2005,2006,F,6-8,235,"November 22, 1980",University of Texas at Austin
62,Jim Thomas,1984,1991,G,6-3,190,"October 19, 1960",Indiana University
63,Joe Thomas,1971,1971,F,6-6,205,"March 9, 1948",Marquette University
64,John Thomas,1998,2006,F,6-9,265,"September 8, 1975",University of Minnesota
65,Kenny Thomas,2000,2010,F,6-7,261,"July 25, 1977",University of New Mexico
66,Khyri Thomas,2019,2019,G,6-3,210,"May 8, 1996",Creighton University
67,Kurt Thomas,1996,2013,F,6-9,230,"October 4, 1972",Texas Christian University
68,Lance Thomas,2012,2019,F,6-8,240,"April 24, 1988",Duke University
69,Malcolm Thomas,2012,2015,F,6-9,225,"November 8, 1988","Pepperdine University, San Diego State University"
70,Ronald Thomas,1973,1976,F,6-6,215,"November 19, 1950",University of Louisville
71,Terry Thomas,1976,1976,F,6-8,220,"August 20, 1953",University of Detroit Mercy
72,Tim Thomas,1998,2010,F,6-10,230,"February 26, 1977",Villanova University
73,Tyrus Thomas,2007,2015,F,6-9,215,"August 17, 1986",Louisiana State University
74,Willis Thomas,1968,1968,G,6-2,185,,Tennessee State University
75,Trey Thompkins,2012,2012,F,6-10,245,"May 20, 1990",University of Georgia
76,Bernard Thompson,1985,1989,F-G,6-6,210,"August 30, 1962","California State University, Fresno"
77,Billy Thompson,1987,1992,F,6-7,195,"December 1, 1963",University of Louisville
78,Brooks Thompson,1995,1998,G,6-4,193,"July 19, 1970","Texas A&M University, Oklahoma State University"
79,Corny Thompson,1983,1983,F,6-8,225,"February 5, 1960",University of Connecticut
80,David Thompson*,1976,1984,G-F,6-4,195,"July 13, 1954",North Carolina State University
81,Dijon Thompson,2006,2007,G-F,6-7,195,"February 23, 1983","University of California, Los Angeles"
82,George Thompson,1970,1975,G,6-2,200,"November 29, 1947",Marquette University
83,Hollis Thompson,2014,2017,G-F,6-8,206,"April 3, 1991",Georgetown University
84,Jack Thompson,1969,1969,G,6-1,185,"March 26, 1946",University of South Carolina
85,Jason Thompson,2009,2016,F-C,6-11,250,"July 21, 1986",Rider University
86,John Thompson*,1965,1966,F,6-10,225,"September 2, 1941",Providence College
87,Kevin Thompson,1994,1994,C-F,6-11,260,"February 7, 1971",North Carolina State University
88,Klay Thompson,2012,2019,G-F,6-7,215,"February 8, 1990",Washington State University
89,LaSalle Thompson,1983,1997,C-F,6-10,245,"June 23, 1961",University of Texas at Austin
90,Mychal Thompson,1979,1991,C-F,6-10,226,"January 30, 1955",University of Minnesota
91,Mychel Thompson,2012,2012,G,6-6,211,"June 1, 1988",Pepperdine University
92,Paul Thompson,1984,1986,G-F,6-6,210,"May 25, 1961",Tulane University
93,Stephen Thompson,1992,1992,G,6-4,185,"December 2, 1968",Syracuse University
94,Tristan Thompson,2012,2019,F-C,6-10,238,"March 13, 1991",University of Texas at Austin
95,Skip Thoren,1968,1970,C,6-10,230,"April 5, 1943",University of Illinois at Urbana-Champaign
96,Rod Thorn*,1964,1971,G,6-4,195,"May 23, 1941",West Virginia University
97,Al Thornton,2008,2011,F,6-8,220,"December 7, 1983",Florida State University
98,Bob Thornton,1986,1996,F-C,6-10,225,"July 10, 1962","University of California, Irvine"
99,Dallas Thornton,1969,1970,G,6-4,190,"September 1, 1946",Kentucky Wesleyan College
100,Marcus Thornton,2010,2017,G,6-4,205,"June 5, 1987",Louisiana State University
101,Sindarius Thornwell,2018,2019,G,6-5,215,"November 15, 1994",University of South Carolina
102,Otis Thorpe,1985,2001,F-C,6-9,225,"August 5, 1962",Providence College
103,Sedale Threatt,1984,1997,G,6-2,175,"September 10, 1961",West Virginia University Institute of Technology
104,Nate Thurmond*,1964,1977,C-F,6-11,225,"July 25, 1941",Bowling Green State University
105,Mel Thurston,1948,1948,G,6-0,175,"January 16, 1919",Canisius College
106,Hal Tidrick,1949,1949,F-G,6-1,190,"August 4, 1915",Washington & Jefferson College
107,Dan Tieman,1963,1963,G,6-0,185,"November 30, 1940",Thomas More College
108,Darren Tillis,1983,1984,C-F,6-11,215,"February 23, 1960",Cleveland State University
109,Jack Tingle,1948,1949,F,6-4,205,"December 30, 1924",University of Kentucky
110,George Tinsley,1970,1972,F,6-5,205,"September 19, 1946",Kentucky Wesleyan College
111,Jamaal Tinsley,2002,2014,G,6-3,195,"February 28, 1978",Iowa State University
112,Wayman Tisdale,1986,1997,F-C,6-9,240,"June 9, 1964",University of Oklahoma
113,Mike Tobey,2017,2017,C,7-0,260,"October 10, 1994",University of Virginia
114,Mike Todorovich,1950,1951,F-C,6-5,220,"June 11, 1923",University of Wyoming
115,Ray Tolbert,1982,1989,F,6-9,225,"September 10, 1958",Indiana University
116,Tom Tolbert,1989,1995,F-C,6-7,235,"October 16, 1965","University of California, Irvine, University of Arizona"
117,Anthony Tolliver,2009,2019,F-C,6-8,250,"June 1, 1985",Creighton University
118,Dean Tolson,1975,1978,F,6-8,190,"November 25, 1951",University of Arkansas
119,Rudy Tomjanovich,1971,1981,F,6-8,218,"November 24, 1948",University of Michigan
120,Andrew Toney,1981,1988,G,6-3,178,"November 23, 1957",University of Louisiana at Lafayette
121,Sedric Toney,1986,1994,G,6-2,178,"April 13, 1962",University of Dayton
122,Andy Tonkovich,1949,1949,G,6-1,185,"November 1, 1922",Marshall University
123,Andy Toolson,1991,1996,G-F,6-6,210,"January 19, 1966",Brigham Young University
124,Jack Toomay,1948,1950,C-F,6-6,215,"August 9, 1922",University of the Pacific
125,Bernard Toone,1980,1980,F,6-9,210,"July 14, 1956",Marquette University
126,Irv Torgoff,1947,1949,F,6-2,192,"March 6, 1917",Long Island University
127,Gene Tormohlen,1963,1970,C-F,6-8,230,"May 12, 1937",University of Tennessee
128,Oscar Torres,2002,2003,F,6-6,210,"December 18, 1976",
129,Bill Tosheff,1952,1954,G,6-1,175,"June 2, 1926",Indiana University
130,Bob Tough,1949,1950,G-F,6-0,185,"August 28, 1920",St. John's University
131,Axel Toupane,2016,2017,G-F,6-7,197,"July 23, 1992",
132,Monte Towe,1976,1977,G,5-7,150,"September 27, 1953",North Carolina State University
133,Keith Tower,1994,1997,C-F,6-11,250,"May 15, 1970",University of Notre Dame
134,Blackie Towery,1949,1950,F-C,6-4,210,"June 20, 1920",Western Kentucky University
135,Linton Townes,1983,1985,F-G,6-7,190,"November 30, 1959",James Madison University
136,Karl-Anthony Towns,2016,2019,C-F,7-0,248,"November 15, 1995",University of Kentucky
137,Raymond Townsend,1979,1982,G,6-3,175,"December 20, 1955","University of California, Los Angeles"
138,George Trapp,1972,1977,F-C,6-8,205,"July 11, 1948","California State University, Long Beach"
139,John Trapp,1969,1973,F,6-7,210,"October 2, 1945","University of Nevada, Las Vegas"
140,Robert Traylor,1999,2005,F,6-8,284,"February 1, 1977",University of Michigan
141,Gary Trent,1996,2004,F,6-8,250,"September 22, 1974",Ohio University
142,Gary Trent,2019,2019,G,6-6,205,"January 18, 1999",Duke University
143,Jeff Trepagnier,2002,2004,G,6-4,200,"July 11, 1979",University of Southern California
144,John Tresvant,1965,1973,F-C,6-7,215,"November 6, 1939",Seattle University
145,Allonzo Trier,2019,2019,G,6-5,200,"January 17, 1996",University of Arizona
146,Dick Triptow,1949,1950,G-F,6-0,170,"November 3, 1922",DePaul University
147,Kelly Tripucka,1982,1991,F-G,6-6,220,"February 16, 1959",University of Notre Dame
148,Ansley Truitt,1973,1973,C,6-9,215,"August 24, 1950",University of California
149,Cezary Trybanski,2003,2004,C,7-2,240,"September 22, 1979",
150,Jake Tsakalidis,2001,2007,C,7-2,285,"June 10, 1979",
151,John Tschogl,1973,1975,F,6-6,206,"April 25, 1950","University of California, Santa Barbara"
152,Lou Tsioropoulos,1957,1959,F,6-5,190,"August 31, 1930",University of Kentucky
153,Nikoloz Tskitishvili,2003,2006,F,7-0,225,"April 14, 1983",
154,Al Tucker,1968,1972,F,6-8,190,"February 24, 1943",Oklahoma Baptist University
155,Alando Tucker,2008,2010,F,6-6,205,"February 11, 1984",University of Wisconsin
156,Anthony Tucker,1995,1995,F,6-8,220,"April 4, 1969","Georgetown University, Wake Forest University"
157,Jim Tucker,1955,1957,F,6-7,185,"December 11, 1932",Duquesne University
158,P.J. Tucker,2007,2019,F,6-6,245,"May 5, 1985",University of Texas at Austin
159,Trent Tucker,1983,1993,G,6-5,193,"December 20, 1959",University of Minnesota
160,Ronny Turiaf,2006,2015,F,6-10,249,"January 13, 1983",Gonzaga University
161,Mirsad Turkcan,2000,2000,F,6-9,236,"June 7, 1976",
162,Hedo Turkoglu,2001,2015,F,6-10,220,"March 19, 1979",
163,Andre Turner,1987,1992,G,5-11,160,"December 13, 1964",University of Memphis
164,Bill Turner,1968,1973,F,6-7,220,"February 18, 1944",University of Akron
165,Elston Turner,1982,1989,G-F,6-5,190,"June 10, 1959",University of Mississippi
166,Evan Turner,2011,2019,G,6-7,220,"October 27, 1988",Ohio State University
167,Gary Turner,1968,1968,F,6-7,200,,Texas Christian University
168,Henry Turner,1990,1995,G-F,6-7,200,"August 18, 1966","California State University, Fullerton"
169,Herschell Turner,1968,1968,G,6-2,195,"March 29, 1938",University of Nebraska
170,Jack Turner,1955,1955,F-G,6-4,170,"June 29, 1930",Western Kentucky University
171,Jack Turner,1962,1962,G-F,6-5,200,"June 5, 1939",University of Louisville
172,Jeff Turner,1985,1996,F-C,6-9,230,"April 9, 1962",Vanderbilt University
173,John Turner,1992,1992,F,6-8,245,"November 30, 1967","Georgetown University, Phillips University"
174,Myles Turner,2016,2019,C-F,6-11,250,"March 24, 1996",University of Texas at Austin
175,Wayne Turner,2000,2000,G,6-2,190,"March 22, 1976",University of Kentucky
176,Melvin Turpin,1985,1990,C,6-11,240,"December 28, 1960",University of Kentucky
177,Dave Twardzik,1973,1980,G,6-1,175,"September 20, 1950",Old Dominion University
178,Jack Twyman*,1956,1966,F-G,6-6,210,"May 11, 1934",University of Cincinnati
179,B.J. Tyler,1995,1995,G,6-1,185,"April 30, 1971","DePaul University, University of Texas at Austin"
180,Jeremy Tyler,2012,2014,C,6-10,260,"June 21, 1991",
181,Terry Tyler,1979,1989,F-G,6-7,215,"October 30, 1956",University of Detroit Mercy
182,Charlie Tyra,1958,1962,C-F,6-8,230,"August 16, 1935",University of Louisville
0,Edwin Ubiles,2012,2012,G,6-6,204,"November 26, 1986",Siena College
1,Ekpe Udoh,2011,2019,C-F,6-10,245,"May 20, 1987","University of Michigan, Baylor University"
2,Ime Udoka,2004,2011,F,6-6,215,"August 9, 1977","University of San Francisco, Portland State University"
3,Beno Udrih,2005,2017,G,6-3,205,"July 5, 1982",
4,Roko Ukic,2009,2010,G,6-5,183,"May 12, 1984",
5,Tyler Ulis,2017,2019,G,5-10,160,"January 5, 1996",University of Kentucky
6,Wes Unseld*,1969,1981,C-F,6-7,245,"March 14, 1946",University of Louisville
7,Hal Uplinger,1954,1954,G,6-4,185,"September 30, 1929",Long Island University
8,Kelvin Upshaw,1989,1991,G,6-2,180,"January 24, 1963",University of Utah
9,Jarrod Uthoff,2017,2017,F,6-9,221,"May 19, 1993",University of Iowa
10,Ben Uzoh,2011,2012,G,6-3,205,"March 19, 1988",University of Tulsa
0,Stephen Vacendak,1968,1970,G,6-1,185,"August 15, 1944",Duke University
1,Jonas Valanciunas,2013,2019,C,7-0,265,"May 6, 1992",
2,Darnell Valentine,1982,1991,G,6-1,183,"February 3, 1959",University of Kansas
3,Denzel Valentine,2017,2018,G,6-6,210,"November 16, 1993",Michigan State University
4,Ronnie Valentine,1981,1981,F,6-7,210,"November 27, 1957",Old Dominion University
5,John Vallely,1971,1972,G,6-3,185,"October 3, 1948","University of California, Los Angeles"
6,Dick Van Arsdale,1966,1977,G-F,6-5,210,"February 22, 1943",Indiana University
7,Tom Van Arsdale,1966,1977,F-G,6-5,202,"February 22, 1943",Indiana University
8,Butch van Breda Kolff,1947,1950,G-F,6-3,185,"October 28, 1922",New York University
9,Jan van Breda Kolff,1975,1983,F-G,6-7,195,"December 16, 1951",Vanderbilt University
10,Nick Van Exel,1994,2006,G,6-1,170,"November 27, 1971","Trinity Valley Community College, University of Cincinnati"
11,Keith Van Horn,1998,2006,F,6-10,220,"October 23, 1975",University of Utah
12,Norm Van Lier,1970,1979,G,6-1,173,"April 1, 1947",Saint Francis University
13,Dennis Van Zant,1976,1976,F,6-9,210,"June 1, 1952",Azusa Pacific University
14,Gene Vance,1948,1952,G-F,6-3,195,"February 25, 1923",University of Illinois at Urbana-Champaign
15,Logan Vander Velden,1996,1996,F,6-8,215,"April 3, 1971",University of Wisconsin-Green Bay
16,Jarred Vanderbilt,2019,2019,F,6-9,214,"April 3, 1999",University of Kentucky
17,Ernie Vandeweghe,1950,1956,F-G,6-3,195,"September 12, 1928",Colgate University
18,Kiki Vandeweghe,1981,1993,F,6-8,220,"August 1, 1958","University of California, Los Angeles"
19,Nick Vanos,1986,1987,C,7-1,255,"April 13, 1963",Santa Clara University
20,David Vanterpool,2001,2001,G,6-5,200,"March 31, 1973",St. Bonaventure University
21,Fred VanVleet,2017,2019,G,6-0,195,"February 25, 1994",Wichita State University
22,Ratko Varda,2002,2002,C,7-1,260,"May 6, 1979",
23,Anderson Varejao,2005,2017,F-C,6-10,273,"September 28, 1982",
24,Jarvis Varnado,2013,2014,F,6-9,230,"March 1, 1988",Mississippi State University
25,Greivis Vasquez,2011,2017,G,6-6,217,"January 16, 1987",University of Maryland
26,Chico Vaughn,1963,1970,G,6-2,190,"February 19, 1940",Southern Illinois University
27,David Vaughn,1975,1976,C,6-11,220,"June 4, 1952",Oral Roberts University
28,David Vaughn,1996,1999,F,6-9,240,"March 23, 1973",University of Memphis
29,Jacque Vaughn,1998,2009,G,6-1,190,"February 11, 1975",University of Kansas
30,Rashad Vaughn,2016,2018,G,6-6,202,"August 16, 1996","University of Nevada, Las Vegas"
31,Virgil Vaughn,1947,1947,F-C,6-4,205,"May 15, 1918",Western Kentucky University
32,Loy Vaught,1991,2001,F,6-9,230,"February 27, 1968",University of Michigan
33,Bob Verga,1968,1974,G,6-1,190,"September 7, 1945",Duke University
34,Pete Verhoeven,1982,1987,F,6-9,215,"February 15, 1959","California State University, Fresno"
35,Jan Vesely,2012,2014,F,6-11,240,"April 24, 1990",
36,Gundars Vetra,1993,1993,F,6-6,195,"May 22, 1967",
37,Joao Vianna,1992,1992,F,6-9,215,"November 15, 1966",
38,Charlie Villanueva,2006,2016,F,6-11,232,"August 24, 1984",University of Connecticut
39,Jay Vincent,1982,1990,F,6-7,220,"June 10, 1959",Michigan State University
40,Sam Vincent,1986,1992,G,6-2,185,"May 18, 1963",Michigan State University
41,Marcus Vinicius,2007,2008,F,6-8,225,"May 31, 1984",
42,Fred Vinson,1995,2000,G,6-4,190,"January 28, 1971",Georgia Institute of Technology
43,Claude Virden,1973,1973,F,6-6,195,"November 25, 1947",Murray State University
44,Gary Voce,1990,1990,F,6-9,240,"November 24, 1965",University of Notre Dame
45,Floyd Volker,1950,1950,F-C,6-4,205,"June 21, 1921",University of Wyoming
46,Alexander Volkov,1990,1992,C,6-10,218,"March 28, 1964",
47,Whitey Von Nieda,1950,1950,G-F,6-1,170,"June 19, 1922",Pennsylvania State University
48,Noah Vonleh,2015,2019,F,6-9,250,"August 24, 1995",Indiana University
49,Jake Voskuhl,2001,2009,C,6-11,245,"November 1, 1977",University of Connecticut
50,Danny Vranes,1982,1988,F,6-7,210,"October 29, 1958",University of Utah
51,Slavko Vranes,2004,2004,C,7-5,275,"January 30, 1983",
52,Stojko Vrankovic,1991,1999,C,7-2,260,"January 22, 1964",
53,Brett Vroman,1981,1981,C,7-0,220,"December 25, 1955","University of California, Los Angeles, University of Nevada, Las Vegas"
54,Jackson Vroman,2005,2006,F-C,6-10,220,"June 6, 1981",Iowa State University
55,Nikola Vucevic,2012,2019,C,7-0,260,"October 24, 1990",University of Southern California
56,Sasha Vujacic,2005,2017,G,6-7,195,"March 8, 1984",
0,Dwyane Wade,2004,2019,G,6-4,220,"January 17, 1982",Marquette University
1,Mark Wade,1988,1990,G,5-11,160,"October 15, 1965","University of Oklahoma, University of Nevada, Las Vegas"
2,Von Wafer,2006,2012,G,6-5,210,"July 21, 1985",Florida State University
3,Clint Wager,1950,1950,C-F,6-6,210,"January 20, 1920",Saint Mary's University of Minnesota
4,Dajuan Wagner,2003,2007,G,6-2,200,"February 4, 1983",University of Memphis
5,Danny Wagner,1950,1950,G,6-0,170,"August 1, 1922",University of Texas at Austin
6,Milt Wagner,1988,1991,G,6-5,185,"February 20, 1963",University of Louisville
7,Moritz Wagner,2019,2019,F-C,6-11,245,"April 26, 1997",University of Michigan
8,Phillip Wagner,1969,1969,G,6-2,190,"December 18, 1945",Georgia Institute of Technology
9,Dion Waiters,2013,2019,G,6-4,215,"December 10, 1991",Syracuse University
10,Granville Waiters,1984,1988,C,6-11,225,"January 8, 1961",Ohio State University
11,Andre Wakefield,1979,1980,G,6-3,175,"January 11, 1955",Loyola University of Chicago
12,Neal Walk,1970,1977,C,6-10,220,"July 29, 1948",University of Florida
13,Andy Walker,1977,1977,G,6-4,190,"March 25, 1955",Niagara University
14,Antoine Walker,1997,2008,F,6-8,224,"August 12, 1976",University of Kentucky
15,Brady Walker,1949,1952,F-C,6-6,205,"March 15, 1921",Brigham Young University
16,Chet Walker*,1963,1975,F-G,6-6,212,"February 22, 1940",Bradley University
17,Darrell Walker,1984,1993,G,6-4,180,"March 9, 1961",University of Arkansas
18,Foots Walker,1975,1984,G,6-0,184,"May 21, 1951",State University of West Georgia
19,Henry Walker,2009,2015,F,6-6,220,"October 9, 1987",Kansas State University
20,Horace Walker,1962,1962,F,6-3,210,"April 17, 1937",Michigan State University
21,Jimmy Walker,1968,1976,G,6-3,195,"April 8, 1944",Providence College
22,Kemba Walker,2012,2019,G,6-1,184,"May 8, 1990",University of Connecticut
23,Kenny Walker,1987,1995,F,6-8,210,"August 18, 1964",University of Kentucky
24,Lonnie Walker,2019,2019,G,6-5,205,"December 14, 1998",University of Miami
25,Phil Walker,1978,1978,G,6-3,180,"March 20, 1956",Millersville University of Pennsylvania
26,Samaki Walker,1997,2006,F,6-9,240,"February 25, 1976",University of Louisville
27,Wally Walker,1977,1984,F,6-7,190,"July 18, 1954",University of Virginia
28,John Wall,2011,2019,G,6-4,210,"September 6, 1990",University of Kentucky
29,Ben Wallace,1997,2012,F-C,6-9,240,"September 10, 1974",Virginia Union University
30,Gerald Wallace,2002,2015,F,6-7,215,"July 23, 1982",University of Alabama
31,John Wallace,1997,2004,F,6-8,225,"February 9, 1974",Syracuse University
32,Rasheed Wallace,1996,2013,F-C,6-10,225,"September 17, 1974",University of North Carolina
33,Red Wallace,1947,1947,G,6-1,185,"July 12, 1918",University of Scranton
34,Tyrone Wallace,2018,2019,G,6-5,198,"June 10, 1994",University of California
35,Dwight Waller,1969,1972,F,6-6,220,"October 5, 1945",Tennessee State University
36,Jamie Waller,1988,1988,G,6-4,215,"November 20, 1964",Virginia Union University
37,Taurean Waller-Prince,2017,2019,F,6-8,220,"March 22, 1994",Baylor University
38,Jim Walsh,1958,1958,F,6-4,195,"August 29, 1930",Stanford University
39,Matt Walsh,2006,2006,G-F,6-6,205,"December 2, 1982",University of Florida
40,Rex Walters,1994,2000,G,6-4,190,"March 12, 1970","Northwestern University, University of Kansas"
41,Paul Walther,1950,1955,G-F,6-2,160,"March 23, 1927",University of Tennessee
42,Isaac Walthour,1954,1954,G,5-11,163,"August 25, 1930",
43,Bill Walton*,1975,1987,C-F,6-11,210,"November 5, 1952","University of California, Los Angeles"
44,Derrick Walton,2018,2018,G,6-1,189,"April 3, 1995",University of Michigan
45,Lloyd Walton,1977,1981,G,6-0,160,"November 23, 1953",Marquette University
46,Luke Walton,2004,2013,F,6-8,235,"March 28, 1980",University of Arizona
47,Brad Wanamaker,2019,2019,G,6-4,210,"July 25, 1989",University of Pittsburgh
48,Bobby Wanzer*,1949,1957,G,6-0,170,"June 4, 1921",Seton Hall University
49,Perry Warbington,1975,1975,G,6-2,165,"September 7, 1952",Georgia Southern University
50,Charlie Ward,1995,2005,G,6-2,190,"October 12, 1970",Florida State University
51,Gerry Ward,1964,1967,G,6-4,195,"September 6, 1941",Boston College
52,Henry Ward,1976,1977,G-F,6-4,195,"January 30, 1952",Jackson State University
53,Casper Ware,2014,2014,G,5-10,175,"January 17, 1990","California State University, Long Beach"
54,Jim Ware,1967,1969,F,6-7,210,"May 2, 1944",Oklahoma City University
55,Ben Warley,1963,1970,F-G,6-5,200,"September 4, 1936",Tennessee State University
56,Bob Warlick,1966,1970,G-F,6-5,200,"March 20, 1941",Pepperdine University
57,Cornell Warner,1971,1977,F-C,6-9,220,"August 12, 1948",Jackson State University
58,Jameel Warney,2018,2018,F,6-8,260,"January 31, 1994",Stony Brook University
59,Bob Warren,1969,1976,G,6-5,190,"July 17, 1946",Vanderbilt University
60,John Warren,1970,1974,G-F,6-3,180,"July 7, 1947",St. John's University
61,T.J. Warren,2015,2019,F,6-8,215,"September 5, 1993",North Carolina State University
62,Willie Warren,2011,2011,G,6-4,203,"October 22, 1989",University of Oklahoma
63,Bryan Warrick,1983,1986,G,6-5,195,"July 22, 1959",Saint Joseph's University
64,Hakim Warrick,2006,2013,F,6-9,219,"July 8, 1982",Syracuse University
65,Chris Washburn,1987,1988,C,6-11,225,"May 13, 1965",North Carolina State University
66,Julian Washburn,2019,2019,F,6-8,210,"December 18, 1991",
67,Bobby Washington,1970,1972,G,5-11,175,"July 11, 1947",Eastern Kentucky University
68,Darius Washington,2008,2008,G,6-2,195,"December 6, 1985",University of Memphis
69,Donald Washington,1975,1976,F,6-8,210,"April 22, 1952",University of North Carolina
70,Duane Washington,1988,1993,G,6-4,195,"August 31, 1964",Middle Tennessee State University
71,Eric Washington,1998,1999,G,6-4,190,"March 23, 1974",University of Alabama
72,Jim Washington,1966,1976,F-C,6-6,210,"July 1, 1943",Villanova University
73,Kermit Washington,1974,1988,F-C,6-8,230,"September 17, 1951",American University
74,Pearl Washington,1987,1989,G,6-2,190,"January 6, 1964",Syracuse University
75,Richard Washington,1977,1982,F-C,6-11,220,"July 15, 1955","University of California, Los Angeles"
76,Stan Washington,1975,1975,G,6-4,190,"January 23, 1952",University of San Diego
77,Trooper Washington,1968,1973,F-C,6-7,215,"April 21, 1944",Cheyney University of Pennsylvania
78,Wilson Washington,1978,1979,F-C,6-9,227,"August 3, 1955",Old Dominion University
79,Yuta Watanabe,2019,2019,F,6-9,205,"October 13, 1994",George Washington University
80,Darryl Watkins,2008,2012,C,6-11,258,"November 8, 1984",Syracuse University
81,Bobby Watson,1955,1955,G,6-0,160,"March 22, 1930",University of Kentucky
82,C.J. Watson,2008,2017,G,6-2,175,"April 17, 1984",University of Tennessee
83,Earl Watson,2002,2014,G,6-1,195,"June 12, 1979","University of California, Los Angeles"
84,Jamie Watson,1995,1999,F,6-7,190,"February 23, 1972",University of South Carolina
85,Ron Watts,1966,1967,F,6-6,210,"May 21, 1943",Wake Forest University
86,Samuel Watts,1971,1971,G,6-3,185,"March 14, 1948",Florida Agricultural and Mechanical University
87,Slick Watts,1974,1979,G,6-1,175,"July 22, 1951",Xavier University of Louisiana
88,Maalik Wayns,2013,2014,G,6-2,200,"May 2, 1991",Villanova University
89,David Wear,2015,2015,F,6-10,230,"September 21, 1990","University of North Carolina, University of California, Los Angeles"
90,Travis Wear,2015,2018,F,6-10,230,"September 21, 1990","University of North Carolina, University of California, Los Angeles"
91,Clarence Weatherspoon,1993,2005,F,6-6,240,"September 8, 1970",University of Southern Mississippi
92,Nick Weatherspoon,1974,1980,F,6-7,195,"July 20, 1950",University of Illinois at Urbana-Champaign
93,Kyle Weaver,2009,2011,G,6-6,201,"February 18, 1986",Washington State University
94,James Webb,2018,2018,F,6-9,202,"August 19, 1993",Boise State University
95,Jeff Webb,1971,1972,G,6-4,170,"July 6, 1948",Kansas State University
96,Marcus Webb,1993,1993,F-C,6-9,255,"May 9, 1970",University of Alabama
97,Spud Webb,1986,1998,G,5-6,133,"July 13, 1963","Midland College, North Carolina State University"
98,Chris Webber,1994,2008,F-C,6-9,245,"March 1, 1973",University of Michigan
